driver_id,join_date,city,vehicle_type,acceptance_rate,avg_weekly_hours,delivered_trips,total_earnings,avg_payout_per_trip,avg_rating
D0046,2024-10-15,Houston,Car,0.916,43,20,184.39,9.22,4.59
D0047,2024-11-19,Los Angeles,Scooter,0.779,16,29,264.65,9.13,4.61
D0048,2024-09-28,Los Angeles,Bike,0.851,39,26,223.14,8.58,4.62
D0049,2024-10-19,Phoenix,Scooter,0.9,16,18,143.02,7.95,4.71
D0050,2024-11-04,Phoenix,Car,0.764,29,26,261.26,10.05,4.63
D0051,2024-09-24,Phoenix,Car,0.888,24,22,173.57,7.89,4.59
D0052,2024-11-03,Chicago,Bike,0.814,33,30,282.41,9.41,4.69
D0053,2024-11-11,Los Angeles,Car,0.864,28,27,245.92,9.11,4.62
D0054,2024-10-20,New York,Car,0.855,13,19,141.61,7.45,4.64
D0055,2024-09-30,New York,Bike,0.937,35,31,263.64,8.5,4.73
D0056,2024-10-30,Los Angeles,Car,0.891,30,24,203.9,8.5,4.59
D0057,2024-10-01,Phoenix,Car,0.891,63,23,224.86,9.78,4.66
D0058,2024-10-07,Houston,Car,0.926,31,23,239.01,10.39,4.69
D0059,2024-09-28,Phoenix,Car,0.788,22,22,220.24,10.01,4.63
D0060,2024-10-19,Phoenix,Scooter,0.99,6,24,224.02,9.33,4.69
D0061,2024-11-03,Phoenix,Car,0.812,35,16,156.67,9.79,4.55
D0062,2024-11-15,New York,Scooter,0.793,31,28,236.52,8.45,4.5
D0063,2024-10-17,Chicago,Car,0.854,18,28,250.02,8.93,4.6
D0064,2024-10-21,Chicago,Car,0.688,26,21,186.64,8.89,4.63
D0065,2024-10-07,Los Angeles,Car,0.787,23,33,288.54,8.74,4.73
D0066,2024-10-04,New York,Scooter,0.754,21,36,303.95,8.44,4.62
D0067,2024-11-12,Phoenix,Bike,0.99,29,30,258.59,8.62,4.66
D0068,2024-10-15,Phoenix,Car,0.99,35,23,188.52,8.2,4.59
D0069,2024-10-27,Chicago,Bike,0.951,17,28,275.4,9.84,4.63
D0070,2024-12-03,Los Angeles,Scooter,0.886,32,20,150.09,7.5,4.61
D0071,2024-10-24,Los Angeles,Car,0.591,14,30,234.58,7.82,4.64
D0072,2024-11-11,Phoenix,Scooter,0.981,10,25,243.29,9.73,4.66
D0073,2024-10-16,Houston,Car,0.965,10,15,116.16,7.74,4.59
D0074,2024-10-23,New York,Scooter,0.771,29,32,320.23,10.01,4.57
D0075,2024-11-24,Chicago,Bike,0.856,21,22,209.35,9.52,4.62
D0076,2024-09-18,New York,Bike,0.977,12,29,227.39,7.84,4.69
D0077,2024-10-25,Phoenix,Car,0.838,30,18,157.58,8.75,4.75
D0078,2024-11-09,New York,Car,0.872,18,24,190.45,7.94,4.68
D0079,2024-11-24,New York,Bike,0.803,33,19,155.15,8.17,4.73
D0080,2024-11-16,Los Angeles,Car,0.922,28,21,170.0,8.1,4.64
D0081,2024-10-11,Phoenix,Bike,0.784,19,22,176.62,8.03,4.76
D0082,2024-10-10,Chicago,Car,0.848,26,19,187.07,9.85,4.68
D0083,2024-10-30,Los Angeles,Bike,0.894,22,14,113.29,8.09,4.79
D0084,2024-10-02,Chicago,Car,0.916,33,25,207.26,8.29,4.67
D0085,2024-11-18,Chicago,Car,0.954,25,20,173.63,8.68,4.72
D0086,2024-11-01,Phoenix,Car,0.876,23,21,207.31,9.87,4.61
D0087,2024-09-14,New York,Bike,0.785,45,26,245.46,9.44,4.51
D0088,2024-11-03,Los Angeles,Car,0.943,32,33,328.75,9.96,4.58
D0089,2024-10-07,Chicago,Car,0.849,16,30,275.3,9.18,4.63
D0090,2024-11-28,Phoenix,Bike,0.928,23,24,221.62,9.23,4.61
D0091,2024-10-31,Phoenix,Bike,0.883,19,31,264.97,8.55,4.66
D0092,2024-10-17,New York,Car,0.87,19,30,301.92,10.06,4.59
D0093,2024-11-24,New York,Bike,0.812,27,21,236.68,11.27,4.55
D0094,2024-10-29,New York,Car,0.793,22,26,225.42,8.67,4.65
D0095,2024-10-08,Chicago,Car,0.919,23,28,234.58,8.38,4.56
D0096,2024-11-17,Phoenix,Bike,0.849,22,22,195.53,8.89,4.56
D0097,2024-11-29,Chicago,Car,0.876,16,20,193.47,9.67,4.7
D0098,2024-10-10,Los Angeles,Bike,0.841,29,24,191.86,7.99,4.68
D0099,2024-11-03,Phoenix,Car,0.868,25,24,232.34,9.68,4.65
D0100,2024-11-23,Los Angeles,Car,0.852,29,22,176.51,8.02,4.59
D0101,2024-10-17,Houston,Bike,0.99,17,31,274.98,8.87,4.63
D0102,2024-10-19,New York,Car,0.99,16,25,248.91,9.96,4.68
D0103,2024-11-04,Houston,Scooter,0.68,19,10,66.09,6.61,4.68
D0104,2024-10-19,Houston,Car,0.877,43,21,211.14,10.05,4.5
D0105,2024-11-02,Houston,Car,0.778,29,27,236.91,8.77,4.52
D0106,2024-09-25,New York,Car,0.744,43,19,161.31,8.49,4.6
D0107,2024-09-20,Houston,Scooter,0.944,20,29,245.02,8.45,4.73
D0108,2024-10-18,New York,Bike,0.841,37,23,201.15,8.75,4.63
D0109,2024-10-27,Los Angeles,Bike,0.85,25,30,225.37,7.51,4.67
D0110,2024-10-03,Phoenix,Car,0.765,23,22,171.73,7.81,4.73
D0111,2024-09-12,Los Angeles,Car,0.907,13,23,210.3,9.14,4.6
D0112,2024-10-17,Los Angeles,Scooter,0.877,17,23,230.69,10.03,4.68
D0113,2024-10-22,Houston,Bike,0.944,25,25,254.84,10.19,4.6
D0114,2024-10-21,New York,Car,0.83,34,18,154.2,8.57,4.59
D0115,2024-11-14,Phoenix,Car,0.902,38,24,191.48,7.98,4.58
D0116,2024-10-12,New York,Car,0.935,7,27,265.98,9.85,4.55
D0117,2024-10-28,New York,Bike,0.828,32,20,151.72,7.59,4.57
D0118,2024-10-22,Los Angeles,Car,0.98,11,34,324.7,9.55,4.65
D0119,2024-10-23,Houston,Car,0.881,24,21,157.97,7.52,4.65
D0120,2024-10-23,Los Angeles,Car,0.746,31,22,166.84,7.58,4.6
D0121,2024-11-23,New York,Bike,0.879,15,35,320.77,9.16,4.61
D0122,2024-11-10,Houston,Car,0.845,34,29,246.35,8.49,4.59
D0123,2024-10-15,Houston,Scooter,0.808,17,21,235.81,11.23,4.51
D0124,2024-11-10,Houston,Scooter,0.841,14,34,306.49,9.01,4.67
D0125,2024-11-08,Houston,Car,0.99,25,20,193.42,9.67,4.7
D0126,2024-10-17,Los Angeles,Bike,0.841,22,27,255.62,9.47,4.64
D0127,2024-10-06,Chicago,Bike,0.808,19,26,267.12,10.27,4.57
D0128,2024-10-30,New York,Car,0.729,38,22,196.42,8.93,4.64
D0129,2024-10-25,Chicago,Car,0.896,28,33,288.84,8.75,4.68
D0130,2024-10-22,New York,Car,0.84,15,24,218.08,9.09,4.66
D0131,2024-10-21,Phoenix,Bike,0.789,10,20,194.22,9.71,4.67
D0132,2024-11-08,New York,Car,0.985,33,27,254.77,9.44,4.55
D0133,2024-10-07,Los Angeles,Car,0.856,16,28,249.9,8.93,4.65
D0134,2024-10-19,Phoenix,Car,0.767,23,16,130.75,8.17,4.71
D0135,2024-11-03,Los Angeles,Car,0.924,44,15,138.0,9.2,4.7
D0136,2024-10-30,New York,Bike,0.738,30,21,194.45,9.26,4.63
D0137,2024-11-18,Phoenix,Car,0.798,20,24,197.03,8.21,4.71
D0138,2024-11-10,Phoenix,Car,0.854,16,24,252.51,10.52,4.6
D0139,2024-10-28,Houston,Scooter,0.831,15,25,265.67,10.63,4.64
D0140,2024-10-05,Chicago,Bike,0.89,15,28,228.25,8.15,4.66
D0141,2024-09-21,Chicago,Bike,0.716,30,25,266.25,10.65,4.65
D0142,2024-10-09,Chicago,Car,0.789,6,21,185.71,8.84,4.64
D0143,2024-10-23,Los Angeles,Scooter,0.871,15,21,174.95,8.33,4.67
D0144,2024-11-03,Houston,Scooter,0.845,12,23,221.83,9.64,4.59
D0145,2024-10-21,New York,Car,0.781,21,20,181.11,9.06,4.7
D0146,2024-11-01,Houston,Car,0.917,13,24,207.2,8.63,4.71
D0147,2024-10-09,New York,Bike,0.652,17,21,185.2,8.82,4.6
D0148,2024-10-31,Phoenix,Scooter,0.88,18,25,220.72,8.83,4.65
D0149,2024-09-18,Los Angeles,Scooter,0.857,23,22,203.06,9.23,4.65
D0150,2024-10-19,New York,Bike,0.877,20,29,291.54,10.05,4.64
D0151,2024-11-09,Chicago,Scooter,0.882,20,36,296.43,8.23,4.67
D0152,2024-10-15,Los Angeles,Car,0.92,21,27,282.19,10.45,4.72
D0153,2024-10-28,Phoenix,Scooter,0.687,14,30,271.76,9.06,4.65
D0154,2024-10-25,Phoenix,Car,0.851,41,26,273.17,10.51,4.69
D0155,2024-11-06,Phoenix,Scooter,0.916,5,25,230.06,9.2,4.63
D0156,2024-09-26,New York,Bike,0.732,36,25,209.53,8.38,4.61
D0157,2024-11-14,Chicago,Car,0.901,47,30,294.96,9.83,4.58
D0158,2024-09-28,New York,Bike,0.813,16,25,196.65,7.87,4.68
D0159,2024-11-05,Chicago,Scooter,0.856,20,26,229.78,8.84,4.63
D0160,2024-10-09,Phoenix,Bike,0.933,19,25,188.13,7.53,4.63
D0161,2024-11-17,Chicago,Bike,0.828,15,25,212.25,8.49,4.6
D0162,2024-10-07,Chicago,Car,0.911,15,24,224.81,9.37,4.69
D0163,2024-10-12,Chicago,Car,0.883,43,23,177.72,7.73,4.65
D0164,2024-11-05,New York,Car,0.708,39,32,352.11,11.0,4.69
D0165,2024-10-25,Chicago,Car,0.872,13,26,269.45,10.36,4.64
D0166,2024-10-23,New York,Scooter,0.859,32,29,252.03,8.69,4.61
D0167,2024-10-13,Los Angeles,Scooter,0.787,29,28,245.55,8.77,4.69
D0168,2024-10-19,Los Angeles,Car,0.977,19,25,225.17,9.01,4.65
D0169,2024-09-20,Phoenix,Car,0.771,23,29,251.81,8.68,4.63
D0170,2024-11-15,Phoenix,Car,0.854,35,22,202.64,9.21,4.56
D0171,2024-10-19,New York,Car,0.837,20,35,312.72,8.93,4.66
D0172,2024-10-06,Los Angeles,Car,0.769,8,31,255.82,8.25,4.6
D0173,2024-10-21,Chicago,Bike,0.747,12,23,275.5,11.98,4.67
D0174,2024-10-11,Houston,Bike,0.829,9,22,146.65,6.67,4.6
D0175,2024-11-14,New York,Scooter,0.634,24,19,172.49,9.08,4.58
D0176,2024-09-24,Chicago,Car,0.99,36,28,248.79,8.89,4.62
D0177,2024-11-13,Chicago,Bike,0.99,25,20,164.19,8.21,4.46
D0178,2024-11-25,Los Angeles,Car,0.866,23,21,191.0,9.1,4.52
D0179,2024-11-08,Chicago,Car,0.847,19,26,222.26,8.55,4.65
D0180,2024-10-20,Phoenix,Bike,0.83,40,16,135.15,8.45,4.51
D0181,2024-10-22,Los Angeles,Bike,0.95,5,29,263.53,9.09,4.66
D0182,2024-11-12,Los Angeles,Car,0.737,17,31,287.12,9.26,4.55
D0183,2024-10-16,New York,Bike,0.925,37,29,238.99,8.24,4.63
D0184,2024-11-07,Chicago,Car,0.808,29,18,139.19,7.73,4.67
D0185,2024-10-15,Los Angeles,Scooter,0.831,21,30,242.82,8.09,4.56
D0186,2024-10-11,Los Angeles,Car,0.821,36,30,241.26,8.04,4.79
D0187,2024-10-14,Houston,Car,0.897,21,30,264.66,8.82,4.57
D0188,2024-11-08,Houston,Bike,0.876,12,28,261.46,9.34,4.64
D0189,2024-10-27,Los Angeles,Car,0.808,35,32,325.46,10.17,4.63
D0190,2024-11-05,Chicago,Scooter,0.725,31,29,283.92,9.79,4.66
D0191,2024-10-17,Los Angeles,Bike,0.683,41,16,128.27,8.02,4.59
D0192,2024-10-09,New York,Bike,0.847,36,21,170.95,8.14,4.68
D0193,2024-09-28,Houston,Scooter,0.821,24,23,204.39,8.89,4.64
D0194,2024-11-04,Chicago,Car,0.742,32,28,241.66,8.63,4.56
D0195,2024-11-14,Chicago,Scooter,0.851,28,29,241.99,8.34,4.68
D0196,2024-11-11,Phoenix,Car,0.866,15,31,342.14,11.04,4.61
D0197,2024-11-04,Phoenix,Scooter,0.932,29,22,202.24,9.19,4.65
D0198,2024-11-08,New York,Car,0.87,34,17,226.58,13.33,4.64
D0199,2024-10-18,Chicago,Bike,0.703,12,18,177.43,9.86,4.65
D0200,2024-10-22,Phoenix,Scooter,0.891,17,20,199.98,10.0,4.73
