delivery_id,driver_id,pickup_datetime,dropoff_datetime,distance_km,duration_min,order_value,fare,surge_multiplier,platform_fee_rate,tip,driver_payout,rating,cancelled,city
DEL000021,D0043,2024-07-29 21:01:54,2024-07-29 21:10:54,1.175,9,7.27,6.56,1.0,0.186,0.0,5.34,4.6,0,Chicago
DEL000022,D0003,2024-07-18 12:24:54,2024-07-18 12:35:54,1.483,11,24.01,7.27,1.0,0.293,0.0,5.14,4.7,0,Los Angeles
DEL000023,D0105,2024-07-27 20:57:14,2024-07-27 21:00:14,0.409,3,24.5,4.45,1.0,0.291,2.51,5.67,5.0,0,Houston
DEL000024,D0131,2024-07-19 13:43:51,2024-07-19 13:46:51,0.802,3,24.95,3.57,1.0,0.16,1.91,4.91,4.3,0,Phoenix
DEL000025,D0196,2024-07-07 23:34:01,2024-07-07 23:45:01,2.984,11,29.84,18.54,2.38,0.224,0.0,14.39,4.3,0,Phoenix
DEL000026,D0133,2024-07-05 19:08:55,2024-07-05 19:24:55,1.943,16,19.88,8.61,1.0,0.274,1.56,7.81,4.1,0,Los Angeles
DEL000027,D0029,2024-07-11 14:21:48,2024-07-11 14:36:48,2.443,15,21.9,8.31,1.0,0.261,2.69,8.83,5.0,0,New York
DEL000028,D0006,2024-07-21 12:05:30,2024-07-21 12:24:30,3.304,19,30.96,11.07,1.0,0.212,3.89,12.61,4.4,0,New York
DEL000029,D0046,2024-07-17 12:04:49,2024-07-17 12:15:49,1.968,11,28.73,17.87,2.33,0.187,3.38,17.91,4.7,0,Houston
DEL000030,D0127,2024-07-13 10:01:39,2024-07-13 10:21:39,3.789,20,25.27,10.61,1.0,0.189,2.72,11.32,4.5,0,Chicago
DEL000031,D0065,2024-07-28 21:29:44,2024-07-28 21:50:44,4.587,21,28.86,11.73,1.0,0.166,4.29,14.07,4.7,0,Los Angeles
DEL000032,D0019,2024-07-06 20:10:19,2024-07-06 20:34:19,3.572,24,33.3,11.88,1.0,0.245,3.84,12.81,4.8,0,Chicago
DEL000033,D0010,2024-07-19 14:45:12,2024-07-19 15:02:12,2.804,17,16.19,9.37,1.0,0.246,0.0,7.06,4.9,0,Phoenix
DEL000034,D0117,2024-07-05 19:19:54,2024-07-05 19:39:54,6.553,20,21.2,12.72,1.0,0.223,0.0,9.88,4.4,0,New York
DEL000035,D0184,2024-07-28 20:22:34,2024-07-28 20:52:34,7.704,30,31.74,16.26,1.0,0.197,1.99,15.05,5.0,0,Chicago
DEL000036,D0024,2024-07-17 01:26:52,2024-07-17 01:47:52,5.036,21,25.46,11.67,1.0,0.257,3.58,12.25,3.9,0,Phoenix
DEL000037,D0109,2024-07-23 19:27:11,2024-07-23 19:37:11,2.355,10,35.09,6.68,1.0,0.184,0.0,5.45,5.0,0,Los Angeles
DEL000038,D0067,2024-07-27 20:29:27,2024-07-27 20:56:27,4.466,27,27.54,13.91,1.0,0.196,0.0,11.18,4.8,0,Phoenix
DEL000039,D0108,2024-07-12 20:05:17,2024-07-12 20:18:17,0.853,13,22.35,6.97,1.0,0.227,1.65,7.04,4.7,0,New York
DEL000040,D0104,2024-07-30 19:21:01,2024-07-30 19:36:01,1.447,15,23.3,8.14,1.0,0.215,2.86,9.25,4.4,0,Houston
DEL000041,D0174,2024-07-18 20:21:17,2024-07-18 20:36:17,2.302,15,21.92,8.02,1.0,0.201,0.0,6.41,5.0,0,Houston
DEL000042,D0018,2024-07-01 17:12:05,2024-07-01 17:24:05,1.576,12,23.97,7.85,1.0,0.192,4.42,10.76,5.0,0,Houston
DEL000043,D0006,2024-07-12 19:41:45,2024-07-12 19:53:45,1.976,12,28.74,7.62,1.0,0.203,0.0,6.07,4.0,0,New York
DEL000044,D0183,2024-07-11 14:15:19,2024-07-11 14:19:19,0.579,4,18.55,4.4,1.0,0.197,1.78,5.31,5.0,0,New York
DEL000045,D0037,2024-07-17 14:47:35,2024-07-17 15:14:35,3.497,27,21.16,11.75,1.0,0.209,0.0,9.29,4.3,0,Los Angeles
DEL000046,D0037,2024-07-13 12:46:12,2024-07-13 13:00:12,2.048,14,14.67,7.94,1.0,0.234,0.0,6.08,5.0,0,Los Angeles
DEL000047,D0165,2024-07-09 10:47:30,2024-07-09 11:19:30,4.876,32,23.45,15.16,1.0,0.188,0.0,12.31,5.0,0,Chicago
DEL000048,D0082,2024-07-29 12:06:53,2024-07-29 12:28:53,2.776,22,32.21,10.16,1.0,0.256,2.65,10.21,5.0,0,Chicago
DEL000049,D0034,2024-07-01 19:08:17,2024-07-01 19:37:17,5.312,29,19.97,14.7,1.0,0.254,2.32,13.29,4.2,0,Los Angeles
DEL000050,D0010,2024-07-07 18:48:31,2024-07-07 19:23:31,6.811,35,28.8,18.53,1.0,0.162,3.55,19.08,4.6,0,Phoenix
DEL000051,D0125,2024-07-24 14:11:03,2024-07-24 14:17:03,1.349,6,27.6,5.24,1.0,0.175,0.0,4.32,4.9,0,Houston
DEL000052,D0022,2024-07-04 14:04:36,2024-07-04 14:32:36,3.841,28,29.04,13.18,1.0,0.225,4.59,14.8,5.0,0,Phoenix
DEL000053,D0118,2024-07-28 21:05:15,2024-07-28 21:16:15,1.751,11,28.47,7.06,1.0,0.258,0.0,5.24,4.5,0,Los Angeles
DEL000054,D0023,2024-07-31 12:33:24,2024-07-31 12:49:24,2.561,16,19.59,8.72,1.0,0.284,2.11,8.35,5.0,0,Houston
DEL000055,D0187,2024-07-21 13:39:03,2024-07-21 13:48:03,2.74,9,17.31,7.58,1.0,0.242,0.0,5.75,5.0,0,Houston
DEL000056,D0041,2024-07-11 18:16:42,2024-07-11 18:23:42,1.157,7,24.49,5.64,1.0,0.191,2.02,6.58,4.2,0,Los Angeles
DEL000057,D0135,2024-07-08 00:28:44,2024-07-08 00:46:44,5.206,18,33.53,12.04,1.0,0.218,5.19,14.61,4.3,0,Los Angeles
DEL000058,D0200,2024-07-14 19:29:04,2024-07-14 19:43:04,1.863,14,17.83,6.78,1.0,0.247,0.0,5.11,4.7,0,Phoenix
DEL000059,D0091,2024-07-31 18:51:59,2024-07-31 19:09:59,3.671,18,28.55,11.05,1.0,0.177,2.73,11.82,5.0,0,Phoenix
DEL000060,D0146,2024-07-08 21:52:09,2024-07-08 21:56:09,0.339,4,35.96,2.93,1.0,0.154,5.17,7.65,4.9,0,Houston
DEL000061,D0098,2024-07-28 21:28:07,2024-07-28 22:03:07,5.465,35,7.03,15.83,1.0,0.197,0.83,13.54,4.2,0,Los Angeles
DEL000062,D0037,2024-07-14 16:31:28,2024-07-14 16:37:28,0.292,6,28.71,4.36,1.0,0.293,1.75,4.83,5.0,0,Los Angeles
DEL000063,D0116,2024-07-16 18:01:05,2024-07-16 18:17:05,2.106,16,29.41,8.59,1.0,0.195,0.0,6.91,5.0,0,New York
DEL000064,D0051,2024-07-29 21:48:43,2024-07-29 22:01:43,2.03,13,8.46,7.75,1.0,0.209,0.0,6.13,5.0,0,Phoenix
DEL000065,D0132,2024-07-09 14:41:28,2024-07-09 14:51:28,1.553,10,34.38,15.72,2.5,0.299,5.56,16.58,4.3,0,New York
DEL000066,D0090,2024-07-31 20:05:30,2024-07-31 20:27:30,4.473,22,24.11,11.98,1.0,0.179,1.26,11.1,5.0,0,Phoenix
DEL000067,D0098,2024-07-08 13:44:31,2024-07-08 14:04:31,5.492,20,28.38,12.63,1.0,0.251,0.0,9.46,5.0,0,Los Angeles
DEL000068,D0169,2024-07-27 03:05:20,2024-07-27 03:24:20,3.201,19,15.29,9.86,1.0,0.279,1.69,8.8,4.2,0,Phoenix
DEL000069,D0036,2024-07-25 20:00:42,2024-07-25 20:15:42,1.87,15,16.47,8.29,1.0,0.194,1.85,8.53,4.7,0,Phoenix
DEL000070,D0033,2024-07-26 13:48:31,2024-07-26 14:12:31,3.872,24,31.96,11.99,1.0,0.283,0.0,8.6,4.7,0,Chicago
DEL000071,D0197,2024-07-27 07:18:28,2024-07-27 07:32:28,2.003,14,17.38,8.22,1.0,0.184,1.97,8.68,5.0,0,Phoenix
DEL000072,D0107,2024-07-31 18:15:45,2024-07-31 18:59:45,8.196,44,23.57,20.58,1.0,0.189,0.0,16.69,4.4,0,Houston
DEL000073,D0150,2024-07-05 12:53:58,2024-07-05 13:15:58,6.098,22,23.91,14.0,1.0,0.242,0.0,10.61,5.0,0,New York
DEL000074,D0084,2024-07-08 16:45:18,2024-07-08 16:57:18,4.21,12,23.21,8.55,1.0,0.295,3.85,9.88,4.6,0,Chicago
DEL000075,D0131,2024-07-23 12:35:09,2024-07-23 12:49:09,4.137,14,27.26,10.37,1.0,0.261,0.0,7.66,4.0,0,Phoenix
DEL000076,D0173,2024-07-07 21:17:49,2024-07-07 21:34:49,3.922,17,25.67,9.86,1.0,0.252,3.76,11.14,4.7,0,Chicago
DEL000077,D0005,2024-07-25 12:00:18,2024-07-25 12:24:18,5.417,24,25.46,13.79,1.0,0.171,0.0,11.43,5.0,0,Phoenix
DEL000078,D0062,2024-07-24 21:28:34,2024-07-24 21:35:34,1.43,7,24.4,4.3,1.0,0.267,2.46,5.61,4.8,0,New York
DEL000079,D0153,2024-07-19 14:20:55,2024-07-19 14:29:55,0.789,9,18.69,5.98,1.0,0.293,0.0,4.23,4.8,0,Phoenix
DEL000080,D0041,2024-07-12 21:26:02,2024-07-12 21:38:02,1.32,12,27.09,6.73,1.0,0.159,3.75,9.41,5.0,0,Los Angeles
DEL000081,D0106,2024-07-19 13:42:50,2024-07-19 14:09:50,4.232,27,19.1,13.05,1.0,0.194,0.0,10.52,4.4,0,New York
DEL000082,D0117,2024-07-02 07:37:21,2024-07-02 08:09:21,4.771,32,22.5,14.03,1.0,0.173,0.0,11.6,4.1,0,New York
DEL000083,D0093,2024-07-26 21:00:46,2024-07-26 21:14:46,2.765,14,30.87,8.63,1.0,0.251,0.0,6.46,4.8,0,New York
DEL000084,D0144,2024-07-04 14:16:21,2024-07-04 14:31:21,1.227,15,13.03,6.96,1.0,0.189,1.31,6.95,4.8,0,Houston
DEL000085,D0194,2024-07-16 20:54:34,2024-07-16 20:57:34,1.451,3,29.21,4.58,1.0,0.178,4.44,8.2,4.8,0,Chicago
DEL000086,D0181,2024-07-24 21:02:39,2024-07-24 21:16:39,4.515,14,26.57,10.74,1.0,0.198,0.0,8.61,4.7,0,Los Angeles
DEL000087,D0096,2024-07-12 19:27:06,2024-07-12 19:36:06,0.941,9,5.26,5.83,1.0,0.283,0.0,4.18,4.5,0,Phoenix
DEL000088,D0075,2024-07-09 19:57:01,2024-07-09 20:21:01,4.362,24,19.02,12.37,1.0,0.268,0.0,9.05,4.5,0,Chicago
DEL000089,D0010,2024-07-19 14:15:33,2024-07-19 14:30:33,2.559,15,9.76,10.2,1.0,0.249,0.0,7.66,4.6,0,Phoenix
DEL000090,D0066,2024-07-09 05:55:24,2024-07-09 06:00:24,0.42,5,19.21,3.81,1.0,0.196,2.5,5.56,5.0,0,New York
DEL000091,D0025,2024-07-07 12:40:16,2024-07-07 12:45:16,0.52,5,8.35,3.78,1.0,0.193,0.0,3.05,4.5,0,Phoenix
DEL000092,D0045,2024-07-23 21:43:34,2024-07-23 21:49:34,0.617,6,18.75,4.73,1.0,0.28,3.32,6.73,5.0,0,Los Angeles
DEL000093,D0062,2024-07-29 12:27:44,2024-07-29 12:41:44,2.708,14,19.14,9.26,1.0,0.207,0.0,7.34,4.6,0,New York
DEL000094,D0049,2024-07-19 21:06:15,2024-07-19 21:19:15,3.233,13,26.82,9.4,1.0,0.267,4.34,11.23,4.8,0,Phoenix
DEL000095,D0035,2024-07-15 02:53:42,2024-07-15 02:56:42,0.573,3,19.0,3.93,1.0,0.293,1.47,4.25,5.0,0,New York
DEL000096,D0153,2024-07-03 21:47:31,2024-07-03 22:05:31,3.156,18,22.98,10.03,1.0,0.218,0.0,7.84,3.7,0,Phoenix
DEL000097,D0163,2024-07-12 18:22:14,2024-07-12 18:32:14,0.767,10,16.58,6.31,1.0,0.284,0.0,4.52,5.0,0,Chicago
DEL000098,D0084,2024-07-07 18:57:40,2024-07-07 19:06:40,1.44,9,18.33,6.13,1.0,0.275,2.04,6.48,4.9,0,Chicago
DEL000099,D0186,2024-07-29 13:08:05,2024-07-29 13:14:05,0.511,6,18.24,6.16,1.46,0.164,1.08,6.23,4.8,0,Los Angeles
DEL000100,D0084,2024-07-10 07:34:56,2024-07-10 07:44:56,1.064,10,26.76,13.08,1.95,0.177,3.07,13.83,4.8,0,Chicago
DEL000101,D0140,2024-07-08 12:52:30,2024-07-08 13:02:30,2.25,10,20.81,10.77,1.51,0.214,1.42,9.89,4.7,0,Chicago
DEL000102,D0041,2024-07-06 14:04:09,2024-07-06 14:24:09,3.684,20,16.07,11.83,1.0,0.252,1.06,9.91,4.1,0,Los Angeles
DEL000103,D0178,2024-07-20 22:51:35,2024-07-20 23:17:35,5.093,26,19.11,0.0,1.0,0.232,0.0,2.47,,1,Los Angeles
DEL000104,D0153,2024-07-27 07:23:43,2024-07-27 07:29:43,0.437,6,13.49,4.43,1.0,0.171,2.46,6.13,4.7,0,Phoenix
DEL000105,D0025,2024-07-31 21:06:43,2024-07-31 21:45:43,11.361,39,38.11,21.5,1.0,0.249,5.93,22.08,4.8,0,Phoenix
DEL000106,D0124,2024-07-28 13:39:14,2024-07-28 13:52:14,1.946,13,24.91,8.0,1.0,0.25,0.0,6.0,4.9,0,Houston
DEL000107,D0064,2024-07-15 19:07:08,2024-07-15 19:32:08,3.305,25,26.74,11.57,1.0,0.234,3.78,12.64,4.8,0,Chicago
DEL000108,D0199,2024-07-06 06:56:34,2024-07-06 07:14:34,2.908,18,19.0,9.92,1.0,0.262,3.68,11.0,5.0,0,Chicago
DEL000109,D0171,2024-07-27 14:47:46,2024-07-27 15:10:46,3.478,23,28.06,11.17,1.0,0.225,3.91,12.57,5.0,0,New York
DEL000110,D0060,2024-07-24 18:17:02,2024-07-24 18:27:02,1.671,10,28.43,6.21,1.0,0.205,4.57,9.51,4.5,0,Phoenix
DEL000111,D0044,2024-07-12 21:06:43,2024-07-12 21:23:43,2.168,17,35.4,9.38,1.0,0.257,0.0,6.97,4.3,0,Los Angeles
DEL000112,D0040,2024-07-03 14:12:07,2024-07-03 14:19:07,0.47,7,7.34,6.49,1.52,0.179,0.0,5.33,4.8,0,Chicago
DEL000113,D0090,2024-07-11 18:38:01,2024-07-11 18:50:01,0.787,12,9.94,5.95,1.0,0.205,0.82,5.55,5.0,0,Phoenix
DEL000114,D0062,2024-07-28 11:53:48,2024-07-28 12:02:48,2.992,9,22.6,6.72,1.0,0.166,0.0,5.6,5.0,0,New York
DEL000115,D0104,2024-07-12 13:09:50,2024-07-12 13:37:50,6.293,28,29.62,30.27,1.9,0.163,3.31,28.65,3.9,0,Houston
DEL000116,D0021,2024-07-08 23:34:16,2024-07-09 00:20:16,9.853,46,37.84,23.1,1.0,0.179,7.25,26.22,4.7,0,New York
DEL000117,D0079,2024-07-07 01:50:50,2024-07-07 01:57:50,1.772,7,18.53,5.97,1.0,0.171,3.62,8.57,4.6,0,New York
DEL000118,D0166,2024-07-03 07:26:33,2024-07-03 07:38:33,2.164,12,14.76,7.02,1.0,0.287,1.84,6.85,4.2,0,New York
DEL000119,D0172,2024-07-18 16:06:28,2024-07-18 16:30:28,4.8,24,14.91,13.56,1.0,0.196,0.0,10.9,4.1,0,Los Angeles
DEL000120,D0026,2024-07-26 12:41:01,2024-07-26 12:56:01,3.947,15,8.9,10.23,1.0,0.213,1.52,9.57,4.7,0,Phoenix
DEL000121,D0124,2024-07-06 15:58:28,2024-07-06 16:13:28,2.737,15,24.36,8.34,1.0,0.281,1.84,7.84,4.2,0,Houston
DEL000122,D0108,2024-07-04 07:39:40,2024-07-04 07:54:40,1.921,15,11.75,7.36,1.0,0.261,0.0,5.44,4.9,0,New York
DEL000123,D0153,2024-07-30 17:29:32,2024-07-30 17:43:32,2.008,14,12.54,8.17,1.0,0.225,1.51,7.84,5.0,0,Phoenix
DEL000124,D0111,2024-07-27 19:13:27,2024-07-27 19:24:27,1.285,11,28.93,6.53,1.0,0.173,1.51,6.91,4.5,0,Los Angeles
DEL000125,D0042,2024-07-23 14:46:06,2024-07-23 15:02:06,3.113,16,30.67,9.15,1.0,0.279,2.98,9.58,4.6,0,Chicago
DEL000126,D0017,2024-07-08 19:30:04,2024-07-08 19:37:04,1.527,7,21.35,5.35,1.0,0.246,3.2,7.23,5.0,0,New York
DEL000127,D0098,2024-07-19 20:35:03,2024-07-19 20:43:03,1.659,8,9.96,6.33,1.0,0.289,0.0,4.5,4.1,0,Los Angeles
DEL000128,D0106,2024-07-06 14:55:42,2024-07-06 15:05:42,1.878,10,16.99,6.78,1.28,0.223,1.94,7.21,5.0,0,New York
DEL000129,D0053,2024-07-03 22:38:19,2024-07-03 23:12:19,6.108,34,25.58,16.36,1.0,0.229,0.0,12.61,4.6,0,Los Angeles
DEL000130,D0125,2024-07-24 12:06:22,2024-07-24 12:13:22,1.067,7,17.15,4.27,1.0,0.181,3.24,6.74,5.0,0,Houston
DEL000131,D0009,2024-07-28 12:27:54,2024-07-28 12:43:54,2.967,16,16.87,10.04,1.0,0.213,0.0,7.9,4.9,0,Phoenix
DEL000132,D0115,2024-07-28 02:59:42,2024-07-28 03:27:42,6.064,28,15.55,14.72,1.0,0.227,2.64,14.02,4.8,0,Phoenix
DEL000133,D0195,2024-07-15 21:22:00,2024-07-15 21:38:00,3.078,16,28.08,8.96,1.0,0.282,1.46,7.89,5.0,0,Chicago
DEL000134,D0108,2024-07-04 08:40:01,2024-07-04 08:57:01,4.404,17,31.86,10.8,1.0,0.269,6.19,14.08,4.4,0,New York
DEL000135,D0147,2024-07-23 13:23:19,2024-07-23 13:33:19,0.747,10,21.48,5.5,1.0,0.157,0.0,4.64,4.8,0,New York
DEL000136,D0092,2024-07-05 21:09:10,2024-07-05 21:23:10,2.399,14,18.98,8.13,1.0,0.245,3.06,9.2,4.6,0,New York
DEL000137,D0022,2024-07-22 19:31:38,2024-07-22 19:41:38,0.348,10,13.05,5.32,1.0,0.219,1.12,5.27,5.0,0,Phoenix
DEL000138,D0095,2024-07-06 13:07:18,2024-07-06 13:13:18,0.95,6,36.29,4.28,1.0,0.174,0.0,3.54,4.7,0,Chicago
DEL000139,D0004,2024-07-15 03:25:38,2024-07-15 03:58:38,4.806,33,23.92,15.58,1.0,0.198,2.74,15.24,4.4,0,New York
DEL000140,D0004,2024-07-07 20:18:20,2024-07-07 20:40:20,4.683,22,31.28,12.79,1.0,0.22,4.4,14.38,4.5,0,New York
DEL000141,D0148,2024-07-07 13:45:14,2024-07-07 13:54:14,2.605,9,19.62,6.59,1.0,0.243,0.0,4.99,4.5,0,Phoenix
DEL000142,D0149,2024-07-04 14:47:02,2024-07-04 14:54:02,1.818,7,26.46,5.24,1.0,0.161,3.6,8.0,4.9,0,Los Angeles
DEL000143,D0066,2024-07-16 18:36:25,2024-07-16 18:56:25,4.005,20,19.96,10.95,1.0,0.268,1.88,9.9,4.7,0,New York
DEL000144,D0058,2024-07-02 22:10:51,2024-07-02 22:33:51,6.166,23,30.91,20.85,1.45,0.211,4.04,20.49,5.0,0,Houston
DEL000145,D0172,2024-07-18 05:54:06,2024-07-18 06:12:06,4.121,18,19.21,11.12,1.0,0.276,0.0,8.05,4.8,0,Los Angeles
DEL000146,D0149,2024-07-20 21:47:21,2024-07-20 21:52:21,1.259,5,21.29,5.32,1.0,0.168,0.0,4.43,5.0,0,Los Angeles
DEL000147,D0114,2024-07-31 06:32:12,2024-07-31 06:42:12,2.409,10,20.11,16.58,2.28,0.296,3.56,15.23,4.6,0,New York
DEL000148,D0011,2024-07-08 12:09:16,2024-07-08 12:23:16,2.412,14,13.33,7.69,1.0,0.28,0.0,5.54,4.7,0,Los Angeles
DEL000149,D0177,2024-07-04 09:49:40,2024-07-04 10:00:40,0.849,11,17.56,6.19,1.0,0.294,0.0,4.37,3.9,0,Chicago
DEL000150,D0119,2024-07-22 19:56:36,2024-07-22 20:11:36,1.972,15,22.54,8.25,1.0,0.251,0.0,6.18,4.7,0,Houston
DEL000151,D0098,2024-07-31 13:28:04,2024-07-31 13:41:04,2.22,13,32.09,8.24,1.0,0.227,0.0,6.37,4.9,0,Los Angeles
DEL000152,D0089,2024-07-29 04:32:04,2024-07-29 04:48:04,2.133,16,15.08,8.47,1.0,0.232,2.0,8.5,4.9,0,Chicago
DEL000153,D0154,2024-07-14 05:55:54,2024-07-14 06:16:54,3.929,21,27.65,11.16,1.0,0.198,0.0,8.95,5.0,0,Phoenix
DEL000154,D0181,2024-07-29 18:50:47,2024-07-29 19:06:47,3.23,16,12.28,9.93,1.0,0.186,1.51,9.59,4.7,0,Los Angeles
DEL000155,D0139,2024-07-10 13:30:32,2024-07-10 13:37:32,0.575,7,15.24,6.0,1.0,0.191,1.74,6.59,4.8,0,Houston
DEL000156,D0166,2024-07-17 23:05:32,2024-07-17 23:11:32,2.149,6,22.04,5.46,1.0,0.195,3.29,7.69,4.4,0,New York
DEL000157,D0002,2024-07-22 17:39:10,2024-07-22 17:42:10,0.372,3,24.33,3.23,1.0,0.196,0.0,2.6,4.1,0,Chicago
DEL000158,D0034,2024-07-17 19:03:50,2024-07-17 19:09:50,0.2,6,26.47,4.21,1.0,0.288,2.95,5.95,4.5,0,Los Angeles
DEL000159,D0075,2024-07-28 19:18:16,2024-07-28 19:32:16,1.985,14,26.95,7.45,1.0,0.156,0.0,6.29,4.1,0,Chicago
DEL000160,D0136,2024-07-08 13:37:42,2024-07-08 14:19:42,7.192,42,27.38,19.86,1.0,0.284,1.37,15.59,4.4,0,New York
DEL000161,D0140,2024-07-20 07:45:05,2024-07-20 08:01:05,1.942,16,27.32,8.32,1.0,0.159,1.48,8.48,4.5,0,Chicago
DEL000162,D0009,2024-07-07 19:53:47,2024-07-07 20:14:47,5.053,21,18.91,15.25,1.2,0.184,0.0,12.44,4.2,0,Phoenix
DEL000163,D0164,2024-07-21 16:01:23,2024-07-21 16:08:23,1.147,7,5.29,4.81,1.0,0.193,0.0,3.88,4.7,0,New York
DEL000164,D0070,2024-07-24 10:08:09,2024-07-24 10:33:09,4.362,25,20.46,12.19,1.0,0.271,0.0,8.89,4.9,0,Los Angeles
DEL000165,D0051,2024-07-27 20:56:33,2024-07-27 21:22:33,4.719,26,15.28,13.83,1.0,0.168,1.55,13.06,5.0,0,Phoenix
DEL000166,D0097,2024-07-07 18:09:10,2024-07-07 18:28:10,2.719,19,16.35,10.41,1.0,0.163,0.0,8.71,4.4,0,Chicago
DEL000167,D0036,2024-07-09 19:02:26,2024-07-09 19:22:26,4.23,20,31.48,11.31,1.0,0.225,0.0,8.77,5.0,0,Phoenix
DEL000168,D0127,2024-07-30 12:47:50,2024-07-30 13:03:50,2.589,16,15.54,8.71,1.0,0.235,1.43,8.09,5.0,0,Chicago
DEL000169,D0091,2024-07-23 21:12:23,2024-07-23 21:31:23,5.855,19,35.33,12.81,1.0,0.289,0.0,9.11,5.0,0,Phoenix
DEL000170,D0164,2024-07-14 20:32:33,2024-07-14 20:43:33,0.491,11,19.23,5.92,1.0,0.269,3.1,7.43,4.8,0,New York
DEL000171,D0081,2024-07-30 08:16:03,2024-07-30 08:25:03,1.297,9,23.68,5.73,1.0,0.207,0.0,4.54,5.0,0,Phoenix
DEL000172,D0144,2024-07-05 19:33:54,2024-07-05 19:43:54,2.863,10,32.52,7.68,1.0,0.298,5.16,10.55,5.0,0,Houston
DEL000173,D0054,2024-07-22 21:09:53,2024-07-22 21:19:53,0.949,10,25.02,6.06,1.0,0.254,0.0,4.52,4.7,0,New York
DEL000174,D0190,2024-07-22 21:59:01,2024-07-22 22:07:01,1.553,8,14.02,5.93,1.0,0.276,2.72,7.01,4.1,0,Chicago
DEL000175,D0157,2024-07-19 23:23:14,2024-07-19 23:34:14,1.684,11,29.26,7.03,1.0,0.217,0.0,5.5,3.9,0,Chicago
DEL000176,D0109,2024-07-17 20:08:02,2024-07-17 20:17:02,1.804,9,35.68,6.37,1.0,0.263,0.0,4.69,4.6,0,Los Angeles
DEL000177,D0090,2024-07-07 20:30:28,2024-07-07 20:42:28,1.683,12,20.49,0.0,1.0,0.263,0.0,2.43,,1,Phoenix
DEL000178,D0033,2024-07-11 20:35:46,2024-07-11 20:49:46,1.521,14,15.65,7.02,1.0,0.168,1.51,7.35,4.6,0,Chicago
DEL000179,D0022,2024-07-12 12:03:15,2024-07-12 12:15:15,1.536,12,14.43,7.27,1.0,0.295,0.0,5.13,4.0,0,Phoenix
